subfolder,file,dims,description
two_nonlinear,test_two_non_linear_diff_shaped_close_clusters_umap_n-neigbors_15_min-dist_0.1.rds,1400 x 2,UMAP embedding computed directly on the test set (not predicted from training model).
two_nonlinear,test_two_non_linear_diff_shaped_close_clusters_umap_predict.rds,600 x 2,UMAP 2D coordinates for the test split predicted from the training UMAP model.
two_nonlinear,two_non_linear_diff_shaped_close_clusters_umap_predict_test.rds,600 x 3,Predicted UMAP coordinates for the test split with ID. Alternative prediction output.
two_nonlinear,two_non_linear_diff_shaped_close_clusters_umap_predict_true.rds,600 x 2,UMAP predictions for the true model manifold points.
two_nonlinear,test_umap_two_non_linear_diff_shaped_close_clusters.rds,600 x 4,Test split UMAP embedding with cluster labels. Columns: UMAP1 UMAP2 ID cluster.
two_nonlinear,test_umap_scaled_two_non_linear_diff_shaped_close_clusters.rds,600 x 3,Test split UMAP embedding rescaled to [0-1]. Columns: UMAP1 UMAP2 ID.
two_nonlinear,test_umap_predict_scaled_two_non_linear_diff_shaped_close_clusters.rds,600 x 3,Predicted test split UMAP embedding rescaled to [0-1]. Columns: UMAP1 UMAP2 ID.
two_nonlinear,test_two_non_linear_diff_shaped_close_clusters_highd_vis_predict.rds,600 x 4,Default resolution model predictions: predicted 2D embedding coordinates and hexbin ID for test points. Columns: pred_emb_1 pred_emb_2 ID pred_h.
two_nonlinear,test_two_non_linear_diff_shaped_close_clusters_highd_vis_predict_bin_13.rds,600 x 4,Same structure at bin resolution 13.
two_nonlinear,test_two_non_linear_diff_shaped_close_clusters_highd_vis_predict_bin_23.rds,600 x 4,Same structure at bin resolution 23.
two_nonlinear,test_two_non_linear_diff_shaped_close_clusters_highd_vis_predict_bin_30.rds,600 x 4,Same structure at bin resolution 30.
two_nonlinear,test_two_non_linear_diff_shaped_close_clusters_highd_vis_predict_bin_54.rds,600 x 4,Same structure at bin resolution 54.
two_nonlinear,quollr_predict_13_dist.rds,179700 x 1,Pairwise distances between lifted model predictions at bin resolution 13 (600x599/2 = 179700 pairs).
two_nonlinear,quollr_predict_30_dist.rds,179700 x 1,Pairwise distances at bin resolution 30.
two_nonlinear,quollr_predict_54_dist.rds,179700 x 1,Pairwise distances at bin resolution 54.
two_nonlinear,umap_test_dist.rds,179700 x 1,Pairwise distances between scaled UMAP test set embeddings.
two_nonlinear,umap_predict_dist.rds,179700 x 1,Pairwise distances between predicted UMAP test set embeddings.
two_nonlinear,dist_comp_bin_13.rds,179700 x 2,Side-by-side comparison of model prediction distances (bin 13) and scaled UMAP test distances.
two_nonlinear,dist_comp_bin_13_org.rds,179700 x 2,Same comparison using original (unscaled) UMAP test distances.
two_nonlinear,dist_comp_bin_30.rds,179700 x 2,Distance comparison at bin resolution 30 (scaled UMAP).
two_nonlinear,dist_comp_bin_30_org.rds,179700 x 2,Distance comparison at bin resolution 30 (original UMAP).
two_nonlinear,dist_comp_bin_54.rds,179700 x 2,Distance comparison at bin resolution 54 (scaled UMAP).
two_nonlinear,dist_comp_bin_54_org.rds,179700 x 2,Distance comparison at bin resolution 54 (original UMAP).
two_nonlinear,error_df_two_curvy_abs.rds,2000 x 36,"Per-point goodness-of-fit error data for the full dataset. Contains original 7D coordinates lifted model predictions per-dimension squared and absolute errors row-wise totals scaled 2D coordinates and error_cat factor (20 levels: error01-error20) categorising points by error quantile bin."
two_nonlinear,error_two_non_linear_diff_shaped_close_clusters_tsne.rds,68 x 12,Hexbin-level goodness-of-fit summary across grid sizes for t-SNE (perplexity 47). Columns include total error HBE grid dimensions occupied bin count bin area mean distance side length and proportion metrics.
two_nonlinear,error_two_non_linear_diff_shaped_close_clusters_tsne2.rds,68 x 12,Same structure for t-SNE (perplexity 62). Method label: tSNE2.
two_nonlinear,error_two_non_linear_diff_shaped_close_clusters_umap.rds,68 x 12,Same structure for UMAP.
two_nonlinear,error_two_non_linear_diff_shaped_close_clusters_pacmap.rds,68 x 12,Same structure for PaCMAP.
two_nonlinear,error_two_non_linear_diff_shaped_close_clusters_phate.rds,68 x 12,Same structure for PHATE.
two_nonlinear,error_two_non_linear_diff_shaped_close_clusters_trimap.rds,68 x 12,Same structure for TriMAP.
two_nonlinear,error_two_curvy_tsne.rds,16 x 14,Extended t-SNE error summary with additional proportion columns (prop_comp prop_bins). Subset of grid sizes.
two_nonlinear,error_two_curvy_umap.rds,15 x 13,Extended UMAP error summary with RMSE and proportion density columns.
two_nonlinear,error_rm_lwd_diff_bin.rds,30 x 9,Error sensitivity analysis varying the low-weight-drop threshold (benchmark_rm_lwd) at three fixed bin grid sizes (b1: 15 24 35). Shows how removing low-count bins affects total error and occupied bin count.
two_nonlinear,hex_grid_nonempty.rds,1254 x 3,Hexagon vertex coordinates for all non-empty hexbins in the default grid. Columns: h (bin ID) x y.
two_nonlinear,hex_grid_temp.rds,378 x 3,Intermediate hexbin grid vertices (coarser resolution).
two_nonlinear,hex_grid_with_counts.rds,4176 x 5,Full hexbin grid including bin counts (n_h) and weights (w_h); many bins have NA counts (empty bins).
two_nonlinear,two_nonlinear_hex_grid_two_curvy4.rds,72 x 3,Coarse hexbin grid (12 bins total) vertex coordinates.
two_nonlinear,two_nonlinear_hex_grid_with_counts_two_curvy2.rds,1620 x 5,Hexbin grid with counts at resolution 2.
two_nonlinear,two_nonlinear_hex_grid_with_counts_two_curvy3.rds,8820 x 5,Hexbin grid with counts at resolution 3 (finest available).
two_nonlinear,df_bin_centroids_two_curvy.rds,209 x 5,Centroids of non-empty hexbins with point counts (n_h) and weights (w_h). Columns: h c_x c_y n_h w_h.
two_nonlinear,all_centroids_df_tempp.rds,63 x 3,Temporary centroid coordinates for all 63 hexbins in an intermediate grid.
two_nonlinear,two_nonlinear_all_centroids_two_curvy4.rds,12 x 3,Centroids for the coarse 12-bin grid.
two_nonlinear,start_pt.rds,1 x 3,Starting hexbin centroid (bin 1) used as an anchor point in grid construction or animation.
two_nonlinear,tr_from_to_df_two_curvy.rds,513 x 10,Hexbin-to-hexbin transition edge data for the default t-SNE embedding. Includes 2D coordinates bin counts and re-indexed bin IDs.
two_nonlinear,two_nonlinear_tr_from_to_df_two_curvy2.rds,230 x 10,Transition edge data at resolution 2.
two_nonlinear,two_nonlinear_tr_from_to_df_two_curvy3.rds,929 x 10,Transition edge data at resolution 3.
two_nonlinear,two_nonlinear_proj_obj1.rds,list(5),Grand tour projection (view 1) for the fitted t-SNE model. Contains projected data (2000 obs) model hexbin edges (513) 3-axis basis unit circle and error-category cluster labels (20 levels).
two_nonlinear,two_nonlinear_proj_obj2.rds,list(4),Alternative grand tour view (2-axis basis) for the fitted t-SNE model.
two_nonlinear,two_nonlinear_proj_obj1_tsne.rds,list(4),Grand tour view 1 for t-SNE (without cluster labels).
two_nonlinear,two_nonlinear_proj_obj2_tsne.rds,list(4),Grand tour view 2 for t-SNE (2-axis basis).
two_nonlinear,two_nonlinear_proj_obj3_tsne.rds,list(4),Grand tour view 3 for t-SNE (3-axis basis).
two_nonlinear,two_nonlinear_proj_obj1_phate.rds,list(4),Grand tour view 1 for the fitted PHATE model (490 model hexbin edges).
two_nonlinear,two_nonlinear_proj_obj2_phate.rds,list(4),Grand tour view 2 for PHATE (2-axis basis).
two_nonlinear,two_nonlinear_proj_obj3_phate.rds,list(4),Grand tour view 3 for PHATE (3-axis basis).
two_nonlinear,two_nonlinear_true_proj_obj1.rds,list(5),Grand tour view 1 using the true model manifold edges (1475 connections) instead of fitted hexbin edges. Includes cluster labels.
two_nonlinear,two_nonlinear_true_proj_obj2.rds,list(4),Grand tour view 2 for the true model (2-axis basis).
two_nonlinear,test_two_nonlinear_proj_obj1.rds,list(3),Grand tour projection for the test split only (600 points no model edges). Contains projected coordinates 3-axis basis and unit circle.
two_nonlinear,nldr_eval_metrics.rds,6 x 6,Summary of standard NLDR evaluation metrics for all 6 methods. Columns: Method GS RTA AUC(R_NX) r RGS.
two_nonlinear,RNX_curves.rds,11988 x 3,R_NX neighbourhood preservation curves for all 6 methods. Columns: K R_NX method.
two_nonlinear,shepard_all.rds,30000 x 3,Shepard diagram data (5000 random pairs x 6 methods) comparing high-dimensional distances (dX) to embedding distances (dY). Methods include tSNE_p47 and tSNE_p62.
two_nonlinear,a1_data.rds,1 x 5,Coordinates and label for annotation arrow 1 (vertical) in a figure. Columns: x xend y yend label.
two_nonlinear,a2_data.rds,1 x 5,Coordinates and label for annotation arrow 2 (horizontal).
two_nonlinear,l_data.rds,1 x 5,Coordinates and label for a leader line annotation.
two_nonlinear,d_rect.rds,1 x 4,Bounding rectangle coordinates (x1min x1max x2min x2max) used to draw a reference box on a plot.
two_nonlinear,rect_adj.rds,1 x 2,Small x-axis adjustment values (x1 x2) for nudging a rectangle annotation.
pbmc3k,pbmc_pca_50.rds,2622 x 50,Top 50 principal components of the 2622-cell PBMC dataset (PC_1-PC_50). Used as the high-dimensional input for all NLDR embeddings.
pbmc3k,pbmc_pca_50_scdeed.rds,5858 x 50,Top 50 PCs for the larger 5858-cell dataset used in the scDEED comparison analysis.
pbmc3k,pbmc_seurat_clusters.rds,2622 x 1,Seurat-derived cluster labels (10 clusters factor levels 0-9) for the 2622-cell dataset. Used to colour cells in visualisations.
pbmc3k,pbmc_tsne_5.rds,2622 x 3,t-SNE embedding (perplexity 5). Columns: tSNE1 tSNE2 ID.
pbmc3k,pbmc_tsne_9.rds,2622 x 3,t-SNE embedding (perplexity 9).
pbmc3k,pbmc_tsne_30.rds,2622 x 3,t-SNE embedding (perplexity 30). Primary embedding used for grand tour and model fitting.
pbmc3k,pbmc_tsne_51.rds,2622 x 3,t-SNE embedding (perplexity 51).
pbmc3k,pbmc_tsne_86.rds,2622 x 3,t-SNE embedding (perplexity 86).
pbmc3k,pbmc_tsne_92.rds,2622 x 3,t-SNE embedding (perplexity 92).
pbmc3k,pbmc_umap_5_min_dist_0.8.rds,2622 x 3,UMAP (n_neighbors=5 min_dist=0.8). Primary embedding used for grand tour and model fitting.
pbmc3k,pbmc_umap_30_min_dist_0.3.rds,2622 x 3,UMAP (n_neighbors=30 min_dist=0.3). Second key reference embedding.
pbmc3k,pbmc_umap_{n}_min_dist_{d}.rds,2622 x 3,"All other UMAP hyperparameter combinations. n_neighbors values tested: 3 4 5 6 9 10 11 12 14 15 23 30 51 52 63 75 84. min_dist values tested: 0.01 0.03 0.1 0.2 0.3 0.45 0.5 0.6 0.65 0.7 0.75 0.78 0.79 0.8 0.81 0.82 0.85 0.9 0.99 1.0."
pbmc3k,pbmc_pacmap_30_random_0.9_5.rds,2622 x 3,PaCMAP (n_neighbors=30 random init MN-ratio=0.9 FP-ratio=5). Primary configuration used for error evaluation.
pbmc3k,pbmc_pacmap_30_random_0.1_1.rds,2622 x 3,PaCMAP (n_neighbors=30 random init MN-ratio=0.1 FP-ratio=1).
pbmc3k,pbmc_pacmap_10_pca_0.5_2.rds,2622 x 3,PaCMAP (n_neighbors=10 PCA init MN-ratio=0.5 FP-ratio=2).
pbmc3k,pbmc_pacmap_5_pca_0.1_1.rds,2622 x 3,PaCMAP (n_neighbors=5 PCA init MN-ratio=0.1 FP-ratio=1).
pbmc3k,pbmc_phate_2.rds,2622 x 3,PHATE embedding (k=2 nearest neighbours). Columns: PHATE1 PHATE2 ID.
pbmc3k,pbmc_phate_5.rds,2622 x 3,PHATE embedding (k=5). Primary configuration used for error evaluation.
pbmc3k,pbmc_phate_10.rds,2622 x 3,PHATE embedding (k=10).
pbmc3k,pbmc_trimap_5_2_2.rds,2622 x 3,TriMAP embedding (n_inliers=5 n_outliers=2 n_random=2). Columns: TriMAP1 TriMAP2 ID.
pbmc3k,pbmc_trimap_12_4_3.rds,2622 x 3,TriMAP embedding (n_inliers=12 n_outliers=4 n_random=3). Primary configuration used for error evaluation.
pbmc3k,pbmc_trimap_30_4_10.rds,2622 x 3,TriMAP embedding (n_inliers=30 n_outliers=4 n_random=10).
pbmc3k,pbmc_scdeed_tsne_perplexity_30.rds,5858 x 2,t-SNE 2D matrix (perplexity 30) for 5858 cells. Representative mid-range setting for scDEED comparison.
